Date,Close,Open,High,Low
5/25/23,4151.28,4155.71,4165.74,4129.73
5/24/23,4115.24,4132.96,4132.96,4103.98
5/23/23,4145.58,4176.8,4185.68,4142.54
5/22/23,4192.63,4190.78,4209.22,4179.68
5/19/23,4191.98,4204.15,4212.91,4180.2
5/18/23,4198.05,4157.68,4202.2,4153.5
5/17/23,4158.77,4122.85,4164.67,4113.62
5/16/23,4109.9,4127.95,4135.54,4109.86
5/15/23,4136.28,4126.65,4141.25,4110.27
5/12/23,4124.08,4138.54,4143.74,4099.12
5/11/23,4130.62,4132.24,4132.8,4109.29
5/10/23,4137.64,4143.74,4154.28,4098.92
5/9/23,4119.17,4124.25,4130.35,4116.65
5/8/23,4138.12,4136.98,4142.3,4123.81
5/5/23,4136.25,4084.73,4147.02,4084.73
5/4/23,4061.22,4082.55,4082.61,4048.28
5/3/23,4090.75,4122.25,4148.3,4088.86
5/2/23,4119.58,4164.1,4164.1,4089.72
5/1/23,4167.87,4166.79,4186.92,4164.12
4/28/23,4169.48,4129.63,4170.06,4127.18
4/27/23,4135.35,4075.29,4138.24,4075.29
4/26/23,4055.99,4087.78,4089.67,4049.35
4/25/23,4071.63,4126.43,4126.43,4071.38
4/24/23,4137.04,4132.07,4142.41,4117.77
4/21/23,4133.52,4132.14,4138.02,4113.86
4/20/23,4129.79,4130.48,4148.57,4114.57
4/19/23,4154.52,4139.33,4162.57,4134.49
4/18/23,4154.87,4164.26,4169.48,4140.36
4/17/23,4151.32,4137.17,4151.72,4123.18
4/14/23,4137.64,4140.11,4163.19,4113.2
4/13/23,4146.22,4100.04,4150.26,4099.4
4/12/23,4091.95,4121.72,4134.37,4086.94
4/11/23,4108.94,4110.29,4124.26,4102.61
4/10/23,4109.11,4085.2,4109.5,4072.55
4/6/23,4105.02,4081.15,4107.32,4069.84
4/5/23,4090.38,4094.5,4099.69,4072.56
4/4/23,4100.6,4128.03,4133.13,4086.87
4/3/23,4124.51,4102.2,4127.66,4098.79
3/31/23,4109.31,4056.18,4110.75,4056.18
3/30/23,4050.83,4046.74,4057.85,4032.1
3/29/23,4027.81,3999.53,4030.59,3999.53
3/28/23,3971.27,3974.13,3979.2,3951.53
3/27/23,3977.53,3982.93,4003.83,3970.49
3/24/23,3970.99,3939.21,3972.74,3909.16
3/23/23,3948.72,3959.21,4007.66,3919.05
3/22/23,3936.97,4002.04,4039.49,3936.17
3/21/23,4002.87,3975.89,4009.08,3971.19
3/20/23,3951.57,3917.47,3956.62,3916.89
3/17/23,3916.64,3958.69,3958.91,3901.27
3/16/23,3960.28,3878.93,3964.46,3864.11
3/15/23,3891.93,3876.74,3894.26,3838.24
3/14/23,3919.29,3894.01,3937.29,3873.63
3/13/23,3855.76,3835.12,3905.05,3808.86
3/10/23,3861.59,3912.77,3934.05,3846.32
3/9/23,3918.32,3998.66,4017.81,3908.7
3/8/23,3992.01,3987.55,4000.41,3969.76
3/7/23,3986.37,4048.26,4050,3980.31
3/6/23,4048.42,4055.15,4078.49,4044.61
3/3/23,4045.64,3998.02,4048.29,3995.17
3/2/23,3981.35,3938.68,3990.84,3928.16
3/1/23,3951.39,3963.34,3971.73,3939.05
2/28/23,3970.15,3977.19,3997.5,3968.98
2/27/23,3982.24,3992.36,4018.05,3973.55
2/24/23,3970.04,3973.24,3978.25,3943.08
2/23/23,4012.32,4018.6,4028.3,3969.19
2/22/23,3991.05,4001.83,4017.37,3976.9
2/21/23,3997.34,4052.35,4052.35,3995.19
2/17/23,4079.09,4077.39,4081.51,4047.95
2/16/23,4090.41,4114.75,4136.54,4089.49
2/15/23,4147.6,4119.5,4148.11,4103.98
2/14/23,4136.13,4126.7,4159.77,4095.01
2/13/23,4137.29,4096.62,4138.9,4092.67
2/10/23,4090.46,4068.92,4094.36,4060.79
2/9/23,4081.5,4144.25,4156.23,4069.67
2/8/23,4117.86,4153.47,4156.85,4111.67
2/7/23,4164,4105.35,4176.54,4088.39
2/6/23,4111.08,4119.57,4124.63,4093.38
2/3/23,4136.48,4136.69,4182.36,4123.36
2/2/23,4179.76,4158.68,4195.44,4141.88
2/1/23,4119.21,4070.07,4148.95,4037.2
1/31/23,4076.6,4020.85,4077.16,4020.44
1/30/23,4017.77,4049.27,4063.85,4015.55
1/27/23,4070.56,4053.72,4094.21,4048.7
1/26/23,4060.43,4036.08,4061.57,4013.29
1/25/23,4016.22,3982.71,4019.55,3949.06
1/24/23,4016.95,4001.74,4023.92,3989.79
1/23/23,4019.81,3978.14,4039.31,3971.64
1/20/23,3972.61,3909.04,3972.96,3897.86
1/19/23,3898.85,3911.84,3922.94,3885.54
1/18/23,3928.86,4002.25,4014.16,3926.59
1/17/23,3990.97,3999.28,4015.39,3984.57
1/13/23,3999.09,3960.6,4003.95,3947.67
1/12/23,3983.17,3977.57,3997.76,3937.56
1/11/23,3969.61,3932.35,3970.07,3928.54
1/10/23,3919.25,3888.57,3919.83,3877.29
1/9/23,3892.09,3910.82,3950.57,3890.42
1/6/23,3895.08,3823.37,3906.19,3809.56
1/5/23,3808.1,3839.74,3839.74,3802.42
1/4/23,3852.97,3840.36,3873.16,3815.77
1/3/23,3824.14,3853.29,3878.46,3794.33
12/30/22,3839.5,3829.06,3839.85,3800.34
12/29/22,3849.28,3805.45,3858.19,3805.45
12/28/22,3783.22,3829.56,3848.32,3780.78
12/27/22,3829.25,3843.34,3846.65,3813.22
12/23/22,3844.82,3815.11,3845.8,3797.01
12/22/22,3822.39,3853.26,3853.26,3764.49
12/21/22,3878.44,3839.49,3889.82,3839.49
12/20/22,3821.62,3810.47,3838.24,3795.62
12/19/22,3817.66,3853.79,3854.86,3800.04
12/16/22,3852.36,3890.91,3890.91,3827.91
12/15/22,3895.75,3958.37,3958.37,3879.45
12/14/22,3995.32,4015.54,4053.76,3965.65
12/13/22,4019.65,4069.38,4100.96,3993.03
12/12/22,3990.56,3939.29,3990.71,3935.3
12/9/22,3934.38,3954.17,3977.02,3933.04
12/8/22,3963.51,3947.79,3974.19,3935.83
12/7/22,3933.92,3933.28,3957.57,3922.68
12/6/22,3941.26,3996.63,4001.51,3918.39
12/5/22,3998.84,4052.02,4052.45,3984.49
12/2/22,4071.7,4040.17,4080.48,4026.63
